"OBJIDsic","Region_new","Region_unique","island","UN_geospat"
1402,"Department of Amazonas, Colombia","COL.AMA_Department of Amazonas, Colombia_1402","MAIN","South_America"
1404,"Department of Vichada, Colombia","COL.VIC_Department of Vichada, Colombia_1404","MAIN","South_America"
1405,"Department of Caquet†, Colombia","COL.CAQ_Department of Caquet†, Colombia_1405","MAIN","South_America"
1406,"Department of Meta, Colombia","COL.MET_Department of Meta, Colombia_1406","MAIN","South_America"
1409,"Department of Guain°a, Colombia","COL.GUA_Department of Guain°a, Colombia_1409","MAIN","South_America"
1412,"Department of Antioquia, Colombia","COL.ANT_Department of Antioquia, Colombia_1412","MAIN","South_America"
1413,"Department of Guaviare, Colombia","COL.GUV_Department of Guaviare, Colombia_1413","MAIN","South_America"
1414,"Department of VaupÇs, Colombia","COL.VAU_Department of VaupÇs, Colombia_1414","MAIN","South_America"
1416,"Department of Choc¢, Colombia","COL.CHO_Department of Choc¢, Colombia_1416","MAIN","South_America"
1418,"Department of Casanare, Colombia","COL.CAS_Department of Casanare, Colombia_1418","MAIN","South_America"
1425,"Department of Napo, Ecuador","ECU.NAP_Department of Napo, Ecuador_1425","MAIN","South_America"
1427,"Department of Nari§o, Colombia","COL.NAR_Department of Nari§o, Colombia_1427","MAIN","South_America"
1428,"Department of Santander, Colombia","COL.SAN_Department of Santander, Colombia_1428","MAIN","South_America"
1429,"Department of Pastaza, Ecuador","ECU.PAS_Department of Pastaza, Ecuador_1429","MAIN","South_America"
1430,"Department of Cauca, Colombia","COL.CAU_Department of Cauca, Colombia_1430","MAIN","South_America"
1431,"Department of Bol°var, Colombia","COL.BOL_Department of Bol°var, Colombia_1431","MAIN","South_America"
1432,"Department of Arauca, Colombia","COL.ARA_Department of Arauca, Colombia_1432","MAIN","South_America"
1434,"Department of C¢rdoba, Colombia","COL.COR_Department of C¢rdoba, Colombia_1434","MAIN","South_America"
1435,"Department of Cundinamarca, Colombia","COL.CUN_Department of Cundinamarca, Colombia_1435","MAIN","South_America"
1436,"Department of Morona.Santiago, Ecuador","ECU.MOR_Department of Morona.Santiago, Ecuador_1436","MAIN","South_America"
1437,"Department of Putumayo, Colombia","COL.PUT_Department of Putumayo, Colombia_1437","MAIN","South_America"
1439,"Department of Tolima, Colombia","COL.TOL_Department of Tolima, Colombia_1439","MAIN","South_America"
1440,"Department of Boyac†, Colombia","COL.BOY_Department of Boyac†, Colombia_1440","MAIN","South_America"
1441,"Department of Cesar, Colombia","COL.CES_Department of Cesar, Colombia_1441","MAIN","South_America"
1442,"Department of Norte de Santander, Colombia","COL.NOR_Department of Norte de Santander, Colombia_1442","MAIN","South_America"
1444,"Department of Valle del Cauca, Colombia","COL.VAL_Department of Valle del Cauca, Colombia_1444","MAIN","South_America"
1445,"Department of Magdalena, Colombia","COL.MAG_Department of Magdalena, Colombia_1445","MAIN","South_America"
1448,"Department of La Guajira, Colombia","COL.GUJ_Department of La Guajira, Colombia_1448","MAIN","South_America"
1450,"Department of Huila, Colombia","COL.HUI_Department of Huila, Colombia_1450","MAIN","South_America"
1451,"Department of Guayas, Ecuador","ECU.GUA_Department of Guayas, Ecuador_1451","MAIN","South_America"
1452,"Department of Manab°, Ecuador","ECU.MAN_Department of Manab°, Ecuador_1452","MAIN","South_America"
1454,"Department of Sucumb°os, Ecuador","ECU.SUC_Department of Sucumb°os, Ecuador_1454","MAIN","South_America"
1460,"Department of Esmeraldas, Ecuador","ECU.ESM_Department of Esmeraldas, Ecuador_1460","MAIN","South_America"
1464,"Department of Pichincha, Ecuador","ECU.PIC_Department of Pichincha, Ecuador_1464","MAIN","South_America"
1472,"Department of Loja, Ecuador","ECU.LOJ_Department of Loja, Ecuador_1472","MAIN","South_America"
1474,"Department of Sucre, Colombia","COL.SUC_Department of Sucre, Colombia_1474","MAIN","South_America"
1476,"Department of Zamora.Chinchipe, Ecuador","ECU.ZAM_Department of Zamora.Chinchipe, Ecuador_1476","MAIN","South_America"
1485,"Department of Azuay, Ecuador","ECU.AZU_Department of Azuay, Ecuador_1485","MAIN","South_America"
1486,"Department of Caldas, Colombia","COL.CAL_Department of Caldas, Colombia_1486","MAIN","South_America"
1487,"Department of Los.R°os, Ecuador","ECU.RIO_Department of Los.R°os, Ecuador_1487","MAIN","South_America"
1488,"Department of Chimborazo, Ecuador","ECU.CHI_Department of Chimborazo, Ecuador_1488","MAIN","South_America"
1490,"Department of Cotopaxi, Ecuador","ECU.COT_Department of Cotopaxi, Ecuador_1490","MAIN","South_America"
1491,"Department of El.Oro, Ecuador","ECU.ORO_Department of El.Oro, Ecuador_1491","MAIN","South_America"
1497,"Department of Imbabura, Ecuador","ECU.IMB_Department of Imbabura, Ecuador_1497","MAIN","South_America"
1499,"Department of Atl†ntico, Colombia","COL.ATL_Department of Atl†ntico, Colombia_1499","MAIN","South_America"
1500,"Department of Risaralda, Colombia","COL.RIS_Department of Risaralda, Colombia_1500","MAIN","South_America"
1501,"Department of Bol°var, Ecuador","ECU.BOL_Department of Bol°var, Ecuador_1501","MAIN","South_America"
1503,"Department of Carchi, Ecuador","ECU.CAR_Department of Carchi, Ecuador_1503","MAIN","South_America"
1504,"Department of Tungurahua, Ecuador","ECU.TUN_Department of Tungurahua, Ecuador_1504","MAIN","South_America"
1505,"Department of Ca§ar, Ecuador","ECU.CAN_Department of Ca§ar, Ecuador_1505","MAIN","South_America"
1507,"Department of Quind°o, Colombia","COL.QUI_Department of Quind°o, Colombia_1507","MAIN","South_America"
