"OBJIDsic","name","LON","LAT","island","area","dem.sd","temp.mean","aridity.mean","pop.dens.2010.mean","gdp.pc.2011.mean","crop.area.prop","time.emp.GB","time.emp.ESP","time.emp.PRT","time.emp.NL"
896,"Maharashtra",76.13270733,19.45063339,0,314692.03,200.02,26.2,0.57,374.18,7326.81,0.65,309,0,219,0
897,"Manipur",93.88361054,24.72499856,0,21833.41,433.48,19.5,1.55,133.72,2786.74,0.08,123,0,0,0
898,"Madhya Pradesh",78.27098627,23.54505727,0,306677.35,145.08,25.6,0.5,241.47,3181.9,0.53,129,0,0,0
899,"Meghalaya",91.28010584,25.53515762,0,22603.98,491.31,21.3,2.85,154.82,4064.1,0.2,112,0,0,0
900,"Mizoram",92.83094007,23.29786842,0,20965.59,376.12,21.7,1.6,53.74,2774.18,0.17,52,0,0,0
901,"Nagaland",94.44981552,26.0462689,0,16718.27,571.33,19.3,1.48,122.33,4361.63,0.07,81,0,0,0
902,"Orissa",84.50430744,20.56648135,0,149736.66,251.09,25.9,0.78,286.38,3755.55,0.54,182,0,0,0
903,"Puducherry",79.94634782,11.96964533,0,561.37,8.91,28.3,0.58,1761.94,7103.23,0.64,0,0,0,0
904,"Punjab",75.41506173,30.84672605,0,51152.37,58.28,23.7,0.35,569.11,6669.35,0.81,98,0,0,0
905,"Rajasthan",73.84910769,26.58574657,0,343380.43,129,26.2,0.19,203.4,3855.77,0.59,129,0,0,0
906,"Sikkim",88.46628062,27.56326807,0,7287.82,1578.16,6,1.02,100.07,7157.23,0.15,86,0,0,0
907,"Tamil Nadu",78.404535,11.00564065,0,130936.34,339.75,27.5,0.46,568.83,6108.56,0.62,308,0,155,216
908,"Tripura",91.73500665,23.74051585,0,10493.22,73.16,24.6,1.45,397.55,3656.05,0.13,138,0,0,0
911,"West Bengal",87.99161694,23.79838606,0,85669.17,218.88,25.8,1.01,1112.93,4116.98,0.68,190,0,53,198
913,"East province, Iceland",-15.03672106,65.09743122,1,15440.1,264.63,2,2.33,0.76,39557.94,0,0,0,0,0
914,"Central Highlands, Iceland",-18.3409489,64.59133,1,17340.81,165.08,0.1,2.53,0.3,39557.94,0,0,0,0,0
915,"North province, Iceland",-18.19398966,65.60706817,1,24551.96,255.45,1.2,1.21,0.83,39557.93,0,0,0,0,0
916,"North-West province, Iceland",-22.75038263,65.80687552,1,6906.68,170.5,1.9,1.54,0.84,39557.94,0,0,0,0,0
917,"South province, Iceland",-19.8030819,63.90023372,1,9886.26,189.85,3.9,2.43,3.35,39557.94,0,0,0,0,0
918,"Westprovince, Iceland",-21.88288303,64.68870333,1,10426.9,197.71,3,1.5,22.21,39557.94,0,0,0,0,0
919,"Israel",34.99603399,31.44395984,0,21968.45,270.59,19.5,0.15,336.85,27794.4,0.23,28,0,0,0
921,"Sardinia",9.03622356,40.09022444,1,23811.74,271.06,15.2,0.44,69.18,28360.68,0.15,0,192,0,0
922,"Sicily",14.15549666,37.58763453,1,25497.68,334.31,16,0.35,198.84,23957.69,0.06,0,312,0,0
923,"Jamaica",-77.31048448,18.15707142,1,11052.68,268.82,24.3,1.01,248.57,8481.25,0.26,307,146,0,0
925,"Japan",137.97834761,37.5511774,1,374167.98,386.47,10.9,1.61,346.19,30561.27,0.09,0,0,97,40
926,"Kenya",37.84942418,0.517085,0,585667.05,640.07,24.3,0.33,71.65,1912.51,0.09,72,0,0,0
927,"Kyrgyzstan",74.59198788,41.47631825,0,201078,1002.28,1.4,0.42,29.4,2810.38,0.07,0,0,0,0
928,"Kiritimati, Northern Line Islands",-157.35340631,1.85073688,1,472.12,1.68,27.7,1.26,13.28,1659.29,0,52,0,0,0
929,"Palmyra, Norther Line Islands",-162.07421829,5.88168185,1,4.32,1.75,27.3,2.2,0,0,0,23,0,0,0
930,"Canton, Phoenix Islands",-171.67301377,-2.81264105,1,12.37,0,28.2,0.33,3.45,1539.1,0,155,0,0,0
931,"Enderbury, Phoenix Islands",-171.08539847,-3.12749195,1,6.61,0.54,28.3,0.46,0,0,0,57,0,0,0
932,"Gardner, Phoenix Islands",-174.52223566,-4.67478001,1,5.03,2.13,28.4,0.71,0,0,0,0,0,0,0
933,"Hull, Phoenix Islands",-172.18303896,-4.51477122,1,8.15,1.35,28.5,0.61,0,0,0,0,0,0,0
934,"McKean, Phoenix Islands",-174.12274095,-3.59521944,1,0.67,0,28.3,0.84,0,0,0,0,0,0,0
935,"Sydney, Phoenix Islands",-171.24443972,-4.45540069,1,9.09,0.61,28.5,0.55,0,0,0,154,0,0,0
936,"Tabueran",-159.29677733,3.8511056,1,31.4,1.43,27.2,0.93,31.15,1659.29,0,90,0,0,0
937,"Teraina, Norther Line Islands",-160.37960917,4.68379801,1,14.8,2.58,27.3,1.4,126.97,1539.1,0,90,0,0,0
938,"Saint Kitts",-62.76505946,17.33922743,1,172.71,197.34,25.6,0.7,224.28,20571.97,0,359,0,0,0
939,"Nevis",-62.58646979,17.15036012,1,96,144.86,26.1,0.66,153,20571.97,0,355,0,0,0
940,"Korea, Republic of",127.85655699,36.40255021,0,94898.59,243.61,11.2,1.17,492.34,32549.69,0.18,0,0,0,0
941,"Lao People's Democratic Republic",103.75808187,18.50164892,0,231580.25,388.65,23.1,1.16,29.07,4220.1,0.04,0,0,0,0
942,"Liberia",-9.31068121,6.44204415,0,95836.3,137.56,25.5,1.71,36.62,764.85,0.03,0,0,0,0
943,"Libyan Arab Jamahiriya",18.02259361,27.02894339,0,1627344.55,225.8,21.8,0.01,3.94,10985.96,0,6,0,0,0
944,"Saint Lucia",-60.96677353,13.89843336,1,617.83,121,26.3,1.06,287.77,10538.22,0,159,0,0,0
945,"Liechtenstein",9.55380477,47.14246317,0,161.96,573.79,6.5,1.58,222.74,74782.93,0.41,0,0,0,0
946,"Sri Lanka",80.70316286,7.61591461,1,66722.47,302.22,26.7,1.02,319.75,7274.39,0.29,151,0,37,0
947,"Lesotho",28.22271735,-29.58313666,0,30863.13,470.7,11.7,0.49,62.91,2723.62,0.11,92,0,0,0
948,"Lithuania",23.89812086,55.3356707,0,64857.49,46.85,6.3,0.88,49.46,20100.43,0.47,0,0,0,0
949,"Luxembourg",6.11020389,49.77982032,0,2583.63,80.33,8.8,1.04,167.24,81378.62,0.24,0,0,0,0
950,"Latvia",24.92942573,56.85753504,0,64469.28,52.56,5.8,0.92,33.76,17554.01,0.3,0,0,0,0
951,"Morocco",-6.32364023,31.89640609,0,407444.9,605.66,17.2,0.15,85.17,5896.29,0.23,0,91,263,0
952,"Republic of Moldova",28.47393054,47.19387079,0,33670.84,64.12,9.2,0.52,122.55,4460.01,0.65,0,0,0,0
953,"Madagascar",46.70599831,-19.37316753,1,596082.74,452.54,22.9,0.77,35.97,1371.65,0.06,0,0,0,0
954,"Aguascalientes",-102.36249261,22.01078718,0,5621.84,202.78,16.8,0.27,222.12,16060.95,0.39,0,246,0,0
955,"Baja California Norte",-115.09397476,30.54053814,0,72887.67,444.96,18.3,0.09,41.74,15591.97,0.03,0,62,0,0
957,"Campeche",-90.43316779,18.87245361,0,50352.99,85.56,26,0.67,18.96,108550.07,0.27,0,281,0,0
958,"Chihuahua",-106.44431442,28.80302878,0,248494.13,426.63,16.5,0.22,14.26,15650.86,0.06,0,254,0,0
959,"Chiapas",-92.46528041,16.49897344,0,73937.91,596.54,23.3,1.11,70.29,6950.28,0.42,0,293,0,0
960,"Coahuila",-102.03355851,27.30662414,0,151173.04,496.03,19.8,0.16,19.47,20249.1,0.04,0,246,0,0
961,"Colima",-103.91796556,19.13708758,0,5760.17,423,24.9,0.51,129.11,15055.52,0.42,0,298,0,0
963,"Durango",-104.92001471,24.93519454,0,120947.1,509.15,16.7,0.34,14.02,13645.21,0.08,0,258,0,0
964,"Guerrero",-99.90206444,17.66699337,0,64771.06,631.71,24.2,0.64,54.27,7829.6,0.2,0,287,0,0
965,"Guanajuato",-101.02138071,20.8936873,0,30534.46,257.19,17.6,0.31,190.3,12749.33,0.39,0,298,0,0
966,"Hidalgo",-98.87126642,20.47151682,0,21328.74,710.93,17.5,0.52,132.98,10490.67,0.31,0,298,0,0
967,"Jalisco",-103.62211005,20.59861141,0,80031.35,593.06,19.9,0.51,99.27,15013.55,0.24,0,290,0,0
969,"Michoacán",-101.87953237,19.2110408,0,59751.39,767.13,21,0.51,79.17,9895.28,0.25,0,295,0,0
970,"Morelos",-99.06933493,18.75814264,0,5018.66,562.52,21.7,0.53,377.46,11130.13,0.32,0,298,0,0
971,"Nayarit",-104.91380185,21.84917477,0,27542.55,626.23,23,0.63,40.38,9914.19,0.2,0,293,0,0
972,"Nuevo León",-99.95914579,25.57736526,0,65318.63,764.03,20.6,0.26,75.13,28134.64,0.21,0,239,0,0
973,"Oaxaca",-96.43132439,16.95948233,0,92924.2,823.61,22.1,0.77,43.54,7308.97,0.21,0,300,0,0
974,"Puebla",-97.88534475,19.00160735,0,34442.11,735.72,18.2,0.59,174.55,10344.68,0.33,0,290,0,0
975,"Querétaro",-99.84649852,20.84466113,0,12122.25,483.83,18,0.33,158.8,17347.98,0.23,0,290,0,0
976,"Quintana Roo",-88.25512891,19.5584582,0,51314.39,61.13,25.6,0.67,28.06,19437.51,0.07,0,279,0,0
977,"Sinaloa",-107.48280192,25.02178602,0,57768.19,432.57,24,0.39,48.77,13570.89,0.27,0,292,0,0
978,"San Luis Potosí",-100.43823395,22.61557813,0,64283.28,679.73,19.2,0.32,42.34,13176.23,0.16,0,238,0,0
979,"Socorro",-110.97506555,18.7917511,1,136.72,225.82,23.7,0.19,0.329139847864248,16781.83,0,0,213,0,0
980,"Sonora",-110.816368,29.71292698,0,181224.84,496.35,20.9,0.18,15.29,17247.39,0.06,0,290,0,0
981,"Tabasco",-92.57568899,17.94630433,0,24136.55,53.52,26.5,1.14,96.47,29829.76,0.64,0,302,0,0
982,"Tamaulipas",-98.62181034,24.2981932,0,79681.85,493.11,23,0.4,44.09,17253.79,0.36,0,267,0,0
1290,"Maine",-69.23046468,45.38715754,0,84379.68,170.52,4.9,1.21,17.02,45544.28,0.02,161,0,0,0
1291,"Michigan",-85.73613837,44.88047544,0,250781.89,76.81,6.7,0.87,43.34,43207.5,0.14,20,0,0,0
1292,"Minnesota",-94.199058,46.34788238,0,224891.39,72.86,5,0.69,25.88,53041.79,0.41,20,38,0,0
1293,"Missouri",-92.49047835,38.37431054,0,180679.38,76.49,12.6,0.76,33.48,45747,0.44,0,38,0,0
1294,"Mississippi",-89.67307909,32.75758366,0,124301.62,40.63,17.4,0.98,24.78,38726.09,0.21,20,0,0,0
1295,"Montana",-109.63795879,47.03183598,0,379320.25,500.13,5.8,0.32,2.74,43569.64,0.19,0,0,0,0
1296,"North Carolina",-79.38738655,35.5512649,0,128138.08,317.02,15,0.91,75.35,43481.29,0.19,123,0,0,0
1297,"North Dakota",-100.45935552,47.44746533,0,182446.95,151.05,4.9,0.38,3.65,53162.63,0.63,0,38,0,0
