OBJIDsic,Region_new,Region_unique,MainIsl,colonizer,from,to,UN_geospat
630,Northern_Kimberley,AUS_Northern_Kimberley_630,MAIN,Great_Britain,1864,1904,Oceania
632,Ord_Victoria_Plains,AUS_Ord_Victoria_Plains_632,MAIN,Great_Britain,1830,1904,Oceania
633,Pilbara,AUS_Pilbara_633,MAIN,Great_Britain,1863,1904,Oceania
634,Swan_Coastal_Plain,AUS_Swan_Coastal_Plain_634,MAIN,Great_Britain,1829,1904,Oceania
635,Tanami,AUS_Tanami_635,MAIN,Great_Britain,1830,1904,Oceania
636,Victoria_Bonaparte,AUS_Victoria_Bonaparte_636,MAIN,Great_Britain,1886,1904,Oceania
637,Warren,AUS_Warren_637,MAIN,Great_Britain,1827,1904,Oceania
638,Yalgoo,AUS_Yalgoo_638,MAIN,Great_Britain,1892,1904,Oceania
639,,AUS_White_Island_639,ISL,Great_Britain,1830,1904,Oceania
640,,AUS_Wooded_Island_640,ISL,Great_Britain,1830,1904,Oceania
641,,AUS_West_Wallabi_Island_641,ISL,Great_Britain,1830,1904,Oceania
645,Benin,BEN_Benin_645,MAIN,Portugal,1485,1960,Western_Africa
646,,NLD_Bonaire_646,ISL,Great_Britain,1807,1816,South_America
646,,NLD_Bonaire_646,ISL,Great_Britain,1800,1803,South_America
646,,NLD_Bonaire_646,ISL,Netherlands,1816,2010,South_America
646,,NLD_Bonaire_646,ISL,Netherlands,1803,1807,South_America
646,,NLD_Bonaire_646,ISL,Netherlands,1636,1800,South_America
646,,NLD_Bonaire_646,ISL,Spain,1526,1636,South_America
647,,NLD_St_Eustatius_647,ISL,Netherlands,1636,1672,Central_America_Carib
647,,NLD_St_Eustatius_647,ISL,Great_Britain,1672,1679,Central_America_Carib
647,,NLD_St_Eustatius_647,ISL,Netherlands,1679,1689,Central_America_Carib
647,,NLD_St_Eustatius_647,ISL,Great_Britain,1690,1696,Central_America_Carib
647,,NLD_St_Eustatius_647,ISL,Netherlands,1696,1781,Central_America_Carib
647,,NLD_St_Eustatius_647,ISL,Great_Britain,1781,1781,Central_America_Carib
647,,NLD_St_Eustatius_647,ISL,Netherlands,1784,1801,Central_America_Carib
647,,NLD_St_Eustatius_647,ISL,Great_Britain,1801,1802,Central_America_Carib
647,,NLD_St_Eustatius_647,ISL,Netherlands,1802,1810,Central_America_Carib
647,,NLD_St_Eustatius_647,ISL,Great_Britain,1810,1816,Central_America_Carib
647,,NLD_St_Eustatius_647,ISL,Netherlands,1816,2017,Central_America_Carib
648,,NLD_Saba_648,ISL,Netherlands,1635,1665,Central_America_Carib
648,,NLD_Saba_648,ISL,Great_Britain,1665,1665,Central_America_Carib
648,,NLD_Saba_648,ISL,Netherlands,1665,1672,Central_America_Carib
648,,NLD_Saba_648,ISL,Great_Britain,1672,1679,Central_America_Carib
648,,NLD_Saba_648,ISL,Netherlands,1679,1781,Central_America_Carib
648,,NLD_Saba_648,ISL,Great_Britain,1781,1781,Central_America_Carib
648,,NLD_Saba_648,ISL,Great_Britain,1801,1803,Central_America_Carib
648,,NLD_Saba_648,ISL,Netherlands,1803,1810,Central_America_Carib
648,,NLD_Saba_648,ISL,Great_Britain,1810,1816,Central_America_Carib
648,,NLD_Saba_648,ISL,Netherlands,1816,2017,Central_America_Carib
651,,BHS_Bahamas_651,ISL,Great_Britain,1738,1973,Central_America_Carib
661,,GBR_Bermuda_661,ISL,Great_Britain,1612,1946,Mid_North_America
663,Acre,BRA_Acre_663,MAIN,Spain,1542,1824,South_America
664,Alagoas,BRA_Alagoas_664,MAIN,Portugal,1570,1630,South_America
664,Alagoas,BRA_Alagoas_664,MAIN,Netherlands,1630,1654,South_America
664,Alagoas,BRA_Alagoas_664,MAIN,Portugal,1648,1822,South_America
666,Amapa,BRA_Amapa_666,MAIN,Portugal,1637,1822,South_America
667,Bahia,BRA_Bahia_667,MAIN,Portugal,1549,1822,South_America
668,Ceara,BRA_Ceara_668,MAIN,Portugal,1635,1822,South_America
668,Ceara,BRA_Ceara_668,MAIN,Netherlands,1630,1654,South_America
669,Distrito_Federal,BRA_Distrito_Federal_669,MAIN,Portugal,1682,1822,South_America
670,Espirito_Santo,BRA_Espirito_Santo_670,MAIN,Portugal,1535,1822,South_America
671,,BRA_Trindade_and_Martin_Vaz_671,ISL,Portugal,1502,1825,South_America
671,,BRA_Trindade_and_Martin_Vaz_671,ISL,Great_Britain,1890,1896,South_America
672,Goias,BRA_Goias_672,MAIN,Portugal,1682,1822,South_America
673,Maranhao,BRA_Maranhao_673,MAIN,Portugal,1615,1641,South_America
673,Maranhao,BRA_Maranhao_673,MAIN,Netherlands,1641,1654,South_America
674,Minas_Gerais,BRA_Minas_Gerais_674,MAIN,Portugal,1690,1822,South_America
675,Mato_Grosso_do_Sul,BRA_Mato_Grosso_do_Sul_675,MAIN,Portugal,1533,1822,South_America
676,Mato_Grosso,BRA_Mato_Grosso_676,MAIN,Portugal,1533,1822,South_America
677,Para,BRA_Para_677,MAIN,Portugal,1616,1822,South_America
678,Paraiba,BRA_Paraiba_678,MAIN,Portugal,1535,1822,South_America
678,Paraiba,BRA_Paraiba_678,MAIN,Netherlands,1630,1654,South_America
679,Pernambuco,BRA_Pernambuco_679,MAIN,Netherlands,1630,1654,South_America
